Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-03-31,2014,3,31,Monday,13,2014-13,342.4,346.29,334.06,336.37,4297500,336.37,-0.0056756433215183755,359.687142857143,365.4584000000001
2014-04-01,2014,4,1,Tuesday,13,2014-13,338.09,344.43,338.0,342.99,3600100,342.99,0.019680694512841823,357.71214285714296,364.32600000000014
2014-04-02,2014,4,2,Wednesday,13,2014-13,345.99,348.3,340.38,341.96,4475500,341.96,-0.0030029995294995615,355.60142857142864,363.0242000000001
2014-04-03,2014,4,3,Thursday,13,2014-13,341.82,342.5,328.46,333.62,6399300,333.62,-0.024388807305799176,352.7357142857144,361.6058000000001
2014-04-04,2014,4,4,Friday,13,2014-13,335.15,335.44,315.61,323.0,12534600,323.0,-0.03183260977345537,349.01857142857153,360.0684000000001
2014-04-07,2014,4,7,Monday,14,2014-14,320.99,324.94,313.13,317.76,7077400,317.76,-0.016222879982585092,344.6607142857144,358.6716000000001
2014-04-08,2014,4,8,Tuesday,14,2014-14,321.88,328.0,318.44,327.07,6577600,327.07,0.029298833309643557,341.36357142857156,357.48740000000015
2014-04-09,2014,4,9,Wednesday,14,2014-14,328.47,332.18,322.5,331.81,5056600,331.81,0.014492280332131902,338.70928571428584,356.2350000000001
2014-04-10,2014,4,10,Thursday,14,2014-14,330.6,331.0,316.5,317.11,6126700,317.11,-0.044302499367685266,335.6014285714287,354.89320000000015
2014-04-11,2014,4,11,Friday,14,2014-14,314.0,316.5,309.5,311.73,7287500,311.73,-0.016965641618853167,332.7357142857144,353.06760000000014
2014-04-14,2014,4,14,Monday,15,2014-15,317.67,320.48,311.28,315.91,4293500,315.91,0.013409015906282296,329.9642857142858,352.2120000000002
2014-04-15,2014,4,15,Tuesday,15,2014-15,316.7,318.28,305.5,316.08,5398600,316.08,0.0005380738444042965,328.0121428571429,351.6106000000002
2014-04-16,2014,4,16,Wednesday,15,2014-15,321.17,324.0,314.71,323.68,4284900,323.68,0.02404456601613414,326.95571428571435,351.1252000000002
2014-04-17,2014,4,17,Thursday,15,2014-15,319.76,328.66,319.76,324.91,4299200,324.91,0.003800083459468473,326.00000000000006,350.69440000000014
2014-04-21,2014,4,21,Monday,16,2014-16,323.97,331.15,322.31,330.87,2999400,330.87,0.018343514782254156,325.60714285714295,350.22000000000014
2014-04-22,2014,4,22,Tuesday,16,2014-16,332.0,337.5,328.94,329.32,3711600,329.32,-0.004684582512293867,324.63071428571436,349.5848000000001
2014-04-23,2014,4,23,Wednesday,16,2014-16,333.06,333.13,323.39,324.58,3604600,324.58,-0.014393357969552434,323.3892857142858,348.85900000000015
